composition,output
Ga1 Cu1 S2,2.53
Ba2 Ga1 Bi1 Te5,1.43
Ca3 B2 N4,4.1
Ba1 U1 Se3,1.0
Sb2 Se3,1.4
Sm1 In3 S6,1.18
Zn1 In2 S4,2.8
Cu0.5 Ge1 Pb1.75 S4,1.48
Zn1 Te1,2.26
As1 P1,0.23
Fe1 As1 Se1,0.6
Sb2 O3,3.31
K1 In1 Ge1 S4,3.1
Ba2 Sn1 Se5,1.8
Zr1 S3,2.28
Mn15 Si26,0.7
Sn0.06 Pb0.94 Se1,0.19
Cd0.1 Hg0.9 Se1,1.3
Ho1 N1,1.9
Zn3 Sb2,0.2
Ga1.8 Cu0.2 Se2.8,1.86
Rb2 Cd1 P2 Se6,2.58
Sn0.08 Te0.08 Pb0.92 Se0.92,0.22
Ag3 Sb1 S3,1.81
Cs2 Cd1.35 Hg4.65 S7,1.84
Ti1 Se2,1.55
In0.7 Ga0.3 As0.3 P0.7,1.58
Sn1 I2,2.4
Bi2 Te1.5 Se1.5,0.29
Ge0.15 Pb0.85 Se0.85 S0.15,0.34
Na1 I1,5.8
P2 Os1,1.13
Cd1 Si1 P2,1.8
Na2 In4 Se6 S1,1.92
Al1 Cu1 Se2,2.7
Yb1 Cu3 S3,1.56
Rb1 Sb1 Te2,0.38
Bi1 P3 Pb3 O12,3.7
Ce8 Sb2 S15,1.99
Ba2 Ca2 B4 O10,5.6
Zn1 Sb1,1.11
K2 V1 Ag1 S4,1.85
Ba1 Cu1 Sb1 Se3,1.6
Ga1 H1 Se1 O4,5.51
Ga1 Se1,2.15
Zn0.25 Ga0.75 As0.75 Se0.25,1.51
Zn1 S1,3.73
Rb1 Bi1 Se2,0.92
Ge1 Se2,2.38
Ga1.6 Cu0.4 S2.6,2.45
Zn1 Te1,2.37
Zn1 Te1,2.34
Cs3 Nb9 Te4 O32,3.22
Cd5 Ga2 Te6 S2,1.29
Ag1 Sb1 S2,1.9
In0.01 Ga0.99 As0.99 P0.01,1.43
Cu1 Bi1 Se1 O1,0.82
Cu4 Sn7 S16,0.8
Zn1 Te1,2.2
Ce1.3 Lu0.7 S3,1.25
In1 P1,1.35
Li1 Ga1 S2,3.76
Ba6 Ag2.7 Sn4.3 S16,1.58
Yb1 Sm2 Cu1 S5,1.28
Sn0.15 Pb0.85 Se1,0.13
K2 Hg3 Ge2 S8,2.64
Cs1 Sc1 Se2 O6,5.2
Cd1 Te1,1.44
Ga1 N1,3.21
La2 Hf1 S5,0.7
Pb1 Se1,0.22
Ba2 B4 H2 O9,5.12
Zr1 Se3,1.6
Cu2 Se1,1.5
Cd1 Ga2 Se4,2.75
In1 N1,2.4
Ag1 As1 S2,2.26
Sn1 Se0.99 S0.01,0.89
Mg3 Sb2,0.8
Zr1 C1,0.6
Na1 I1,6.75
Cd1 Sn1 P2,1.17
Pt1 S1,0.64
Ta1 Ga1 S2,2.45
Cs1 Bi1 S2,1.39
Zn1 Se1,2.69
Sr2 Sc1 Sb1 O6,3.57
Cd1 Ga2 S4,3.44
K1 Bi1 Se2,0.67
Hg1 Te1,0.18
La3 Mo4 O16 F1,3.7
Tl1 N3,3.58
Sb2 Se3,1.13
V1 O2,0.4
Cs4 Th2 P6 S18,2.8
Mg2 Si1,2.27
Cs1 Sb1 Te2,0.43
In0.4 Ga0.6 As1,0.81
Cd0.01 In0.99 Te0.01 As0.99,0.76
In0.5 Ga0.5 As1,0.75
Pb1 Se1,0.29
Rb1 Bi3 Se5,0.48
Tb1 In3 S6,1.2
Co1 Pb1 O3,0.28
K1 Sb1 Se2,1.72
Rb1 H2 I3 O9,4.07
Eu1 N1,1.25
Al1 Cu1 Te2,2.06
Bi2 Te0.3 Se2.7,0.24
La2 Se3,1.97
Tl3 V1 S4,1.7
Na2 Ti3 O7,3.51
In0.005 Te1 Pb0.995,0.43
Cd1 Se1,1.85
In0.9 Ga0.1 As0.9 P0.1,0.45
Rb1 Ca1 B1 O3,3.67
In1 Cu1 S2,1.57
Zn1 O1,3.2
Ga1.5 Cu0.5 Se2.5,1.76
K1 Ga1 Se2,2.6
K1 I1 O3,3.83
Zn0.1 Ga0.9 Sb0.9 Te0.1,1.0
Te2 Pd1,1.8
Zn3 B2 O6,2.6
Ga1 Cu1 Se2,1.71
Rb1 Nb3 Te2 O12,3.49
Tl2 S1,1.0
Zn1 S1,3.68
Cd1 As2,1.0
Li1 Ga1 Se2,3.57
Cd1 Se1,1.86
Ga1 Tc1,1.42
Cd1 In2 S4,2.7
Al1 Sb1,1.52
Sn0.15 Te1 Pb0.85,0.15
Sn0.23 Te1 Pb0.77,0.04
Cd1 Si1 P2,2.2
K2 Se1,1.8
Sb1 S1 I1,1.93
In6 Se7,0.34
Sb2 Se3,1.15
Ga1 As0.8 P0.2,1.62
Bi24 B1 O39,2.91
Mg1 Cu2 Ge1 S4,2.36
Ba1 Ga2 Ge1 S6,3.26
K10 Co4 Sn4 S17,1.31
Pb1 S1,0.31
K2.15 Sb8.15 Pb1.7 Se15,0.6
Cd1 Hg6.5 As4 Cl6,2.05
Pb1 S1,0.38
Cd1 S1,2.66
Cs1 As1 Se2,2.0
Tl1 Cr5 Se3 S5,0.89
Ag1 Sb1 Te2,0.48
Na1 In1 Te2 O6,4.0
Te1 Pb3 Cl4 O3,3.79
Na0.5 Ge1 Pb1.75 S4,2.08
Li1 As1 S2,1.6
Cs4 Ag9 Sb4 S12,2.0
Ga3 Cu1 Se5,1.89
P2 Ru1,1.0
Zn1 O1,3.26
Ga1 Ag1 S2,2.64
Ca1 I2,5.98
Ga1 As0.99 P0.01,1.37
Nd2 O3,4.4
Ge1 O2,5.54
Cd0.23 Hg0.77 Te1,0.21
Rb1 P1 Pb1 O4,4.35
Li2 Te1 Mo1 O6,3.5
In3 Cu1 Te5,1.01
Li1 Gd5 P2 O13,3.73
Ag1 S1,1.34
Li2 Si1 Hg1 S4,2.68
In1 N1,2.21
Cd1 Sb1,0.53
Tb2 Eu1 Se4,2.0
As2 S3,2.6
Ga1 Se1,2.07
Cd1 Ga2 Se4,2.41
Cd1 Si1 As2,1.51
K1 Cu2 Bi1 S3,1.29
Pb1 Se1,0.28
Zn1 In2 Se4,1.95
In1 Se1,1.29
In2 Bi3 Se7 I1,1.38
Sb1 S1 Br1,2.22
In0.01 Te1 Pb0.99,0.53
K2 Mn1 Sn1 Se4,1.7
Ir1 Se2,0.9
V1 Fe1 Sb1,0.46
La1 Ga1 S3,2.5
Cs1 Bi2,0.55
Sn1 Pb1 S3,0.9
Ge1 Se1,1.38
Ca1 Te1,4.3
Zn1 In2 Se4,2.05
Rb1 Nb1 Se2 O7,4.1
In2 Hg1 Te4,1.17
Cd1 Se0.45 S0.55,2.05
K2 S1,2.1
Zn0.99 Hg0.01 Se1,2.6
Tl4 Cd1 I6,2.8
In1.9 Cu0.1 Se2.9,1.45
Te1 Pb1,0.33
Ba1 Se1,3.7
Hg1 Br2,3.59
Cd3 P2,0.53
Ga1.1 Sb0.9 Te0.3,0.7
Ag2 O1,1.6
Cd3 Sb2,0.3
Cs1 Tm9 Cd4 Se18,2.16
Bi2 Te0.4 Se2.6,0.7
Eu1 Te1,2.06
Na1 Y1 Te4 O10,3.9
K2 La2 Ti3 O10,3.05
Ge0.01 Pb0.99 Se1,0.27
Tl1 In1 Te2,0.62
Ge0.1 Pb0.9 Se0.9 S0.1,0.32
K2 Mo2 Se2 O11,3.3
Zn1 In2 S4,2.6
Pb1 Br2,3.31
As2 S5,2.48
La1 Cu1 Se1 O1,2.83
Na1 H3 Se2 O6,4.9
Ir1 Se1 S1,1.2
Ga1 As1,1.43
Ge1 S1,1.68
Mg1 O1,7.7
Sb1 S1 I1,1.95
Zn1 Cu2 Si1 Te4,1.47
As2 Os1,0.92
Cd1 Te1 O3,3.91
Sn0.15 Te1 Pb0.85,0.23
K1 I1 O3,4.02
U1 Hg4 As2 Cl6,1.9
Rh1 S3,1.5
Nb2 Ag1 P1 S10,1.78
Zn1 S1,3.56
Sm3 B1 S3 O3,2.5
Gd1 Sc1 S3,2.1
In6 S7,0.89
Eu1 In2 Se4,1.31
Cs2 Ag1 Bi1 Br6,2.19
Sn0.1 Pb0.9 Se1,0.17
Pb1 S1,0.39
Li1 Ga1 Te2,2.31
Cd1 Si1 P2,2.4
Sb2 Os1,0.21
Ce1 Ta1 N2 O1,1.9
Ag3 As1 S3,2.03
Ce4 In1 Sb1 Se9,1.69
Y1 N1,1.9
Cd1 Sn1 P2,1.16
Tb1 W1 Cl1 O4,4.24
Cd1 In2 Se4,1.3
Li1 As1 Se2,1.1
Rb1 Cl1,8.5
Zn1 As2,0.92
Co1 Sb2,0.2
Sn1 Se0.01 S0.99,1.11
Ba1 Pd1 I4 O12,1.97
Fe2 O3,2.2
Zn0.8 Hg0.2 Te1,1.4
Si0.12 Ge0.88,0.84
Ga1 Se1,2.1
Na1 Sb1 P2 S6,2.17
K2 Ge3 B2 O10,5.38
Bi2 S3,1.4
Pr2 Ge1 Se5,1.8
Sr1 Ti1 O3,3.4
Ag3 Sb1 S3,2.02
As2 S3,3.0
As2 S3,2.06
Rb2 V1 Cu1 S4,1.85
Rb4 Mo5 P2 O22,3.51
Ag3 Sb1 S3,2.33
K2 V1 Cu1 S4,1.82
Tb1 Cu3 Se3,0.16
Sm2 Se3,2.3
In1 Ag1 S2,1.9
Cs4 Cu3 Bi9 S17,0.6
Li1 B3 O5,8.0
V2 Bi2 Se4 O16,2.2
Mg2 Ge1 Se4,2.02
Cd1 In2 Se4,2.0
In0.99 Ga0.01 As0.01 P0.99,1.3
Cd1 S1,2.59
Na1 Br1,7.26
Cd1 Ge1 As2,0.65
Sb2 Os1,0.2
Ga1 Sb0.99 As0.01,1.37
Bi1 Br3,2.66
Al0.01 Ga0.99 P1,2.27
Cd1 Sb1,0.46
Re1 Se2,1.15
Eu1 S1,1.65
B1 Pb2 Cl1 O3,3.99
In0.04 Te1 Pb0.96,0.37
Cs1 In1 Se2,2.81
In0.6 Ga0.4 As0.6 P0.4,1.25
Zn0.5 Ga0.5 As0.5 Se0.5,1.52
Cs1 Na2 Sb1,0.8
Tl1 In1 S2,2.2
Zn1 In2 Te4,1.87
Ag3 As1 Se3,2.2
K10 Co4 Sn4 S17,1.8
P1 Os1 S1,1.4
In0.4 Ga1.6 Cu1 S3.5,2.15
Sm1 Cu3 S3,1.82
Zn1 Ge1 As2,1.1
In1 Sb0.01 As0.99,0.17
Gd2 Mo3 O12,4.18
Pb1 Br2,3.5
Ba2 In1 Bi1 S5,1.55
Fe1 Bi1 Se3 O9,2.54
Cd1 Cu2 Sn1 Se4,0.96
Li3 Sc1 N2,2.9
In1 Bi2 Se4 Br1,1.21
Ge1 S2,3.54
In0.001 Te1 Pb0.999,0.3
Cu1 Sb1 S2,1.38
Ca1 O1,7.03
Li1 Mo1 I1 O6,2.8
Cd0.1 Hg0.9 Se1,1.32
Ge0.2 Pb0.8 Se1,0.35
Tl1 Sb1 S2,1.42
Cs2 Hg3 I8,2.56
Ba2 Sm1 In1 Se5,2.22
Sb1 Se1 Br1,1.87
K2 Al2 B2 O7,6.89
Te1 Pb1,0.21
In1 Cu1 S2,1.54
Al1 Sb1,1.32
Zn0.9 Ga0.1 P0.1 S0.9,2.8
Ag2 O1,1.4
Sb2 Te3,0.3
Cs1 In1 Hg1 S3,2.3
Si0.458 Ge0.542,2.24
In1 Cu1 Te2,0.89
Ga2 Hg1 Se4,1.95
Sr3 Ti2 O7,3.26
Te2 Ru1,0.25
Cd1 Te1,1.53
In1 Cu1 Ge1 Se4,1.3
Ge1 Te2,0.3
V2 Zn3 Te1 O10,2.96
Zn3 As2,0.51
K2 Hg3 Se2.97 S1.03,2.11
Na1 Sb1 P2 S6,2.25
Y1 Ni1 Sb1,0.18
Na1 As1 Se2,1.57
Pb1 I2,2.41
As2 S3,2.1
Rb1 Mn4 Ga5 Te12,1.53
Cs2 Cd0.25 Hg5.75 S7,1.66
Ni1 O1,4.0
Cs1 I1,6.4
B2 Se2 O7,4.64
Cd3 P2,0.5
Si1 Te2,1.85
Cs2 P2 Pd1 Se6,1.6
Cu2 Sn1 Se3,0.7
La1 Cu1 Te1 O1,2.31
Ba1 Si2,1.3
K2 Ce1 P2 O8,2.46
Ga1 As0.6 P0.4,1.91
Li2 Sn1 Hg1 S4,2.32
Na1 Cl1,8.5
Cd1 In2 S4,2.3
Ge0.05 Te1 Pb0.95,0.34
In1 N1,2.09
K1 I1,5.92
Te3 As2,1.62
B1 Sb1,2.6
Cr1 O3,1.4
Cs1 Bi1 Se2,1.07
Mg3 As2,2.2
Cs1 Cu2 Sb1 S3,1.63
As1 I3,2.47
Hg2 Cl2,3.8
Cu0.96 Bi2 Se3 I1,0.68
Cd1 Se0.99 S0.01,1.68
Na1 As1 Se2,1.56
Tl1 Se1,0.96
Rb4 Ag9 Sb4 S12,2.0
In9 Ag1 Te14,1.5
Ba2 Sn1 Se4,1.9
Sn1 S1,1.26
Bi1 Cl1 O1,3.46
Ti1 Ni1 Sb1,0.42
Zn1 S1,3.67
Ga1.99 Cu0.01 Se2.99,1.99
In1.5 Cu0.5 Se2.5,1.24
Na8 Al8 Si38,0.64
Ag1 I1,2.92
Ga1.7 Cu0.3 S2.7,2.6
Ge2 Sb2 Te5,0.5
Cs1 P1 Pb1 O4,4.39
K1 H3 Se2 O6,4.9
As1 P1 Pd1,0.45
K2 Sm2 Ti3 O10,3.26
Sn2 W1 O5,2.6
Sn0.05 Pb0.95 Se1,0.19
Ga2 O3,4.4
Sn1 Se2,1.62
Ga2 O3,4.54
Rb1 Bi1 S2,1.2
Nd1 B6,4.9
Ga1 As0.5 P0.5,2.0
Cs1 Zn4 In5 Te12,1.61
Ni1 P2,0.3
Cs1 Yb1 Mn1 Se3,1.59
Ba4 Ga5 Ag1 S12,2.52
K1 In1 S2,3.0
Ag2 Hg1 I4,2.47
K10 Zn4 Sn4 S17,3.1
Gd1.87 Lu2.13 Se6,1.56
Cs2 Sn1 P2 Se6,2.06
P1 Pd1 S1,1.4
Hg1 P1 S3,2.6
In1 Ag1 Se2,1.2
Co1 Te1.88,0.2
Sr1 In2 Ge4 Ir4,0.25
Na1 Sb1 F6,3.76
Cd1 In8 Te13,1.02
Gd1 Cu3 Te3,0.52
In1.01 Cu0.99 Se2.01,1.08
In0.5 Ga0.5 P1,1.9
Si0.1 Ge0.9,0.8
Tl1 Ga1 Se2,1.65
Na1 Cl1,8.4
In4 Se3,0.64
Cs1 Er1 Zn1 Se3,2.63
In1 Se1,1.3
Na1 Ga1 Ge3 Se8,2.35
Bi3 I4 O13 F3,3.7
Sn0.06 Pb0.94 Se1,0.22
Sn1 Se1,0.9
Ho1 Cu3 Se3,0.16
Rb1 In1 Ge1 S4,3.1
Cu2 Se1,1.1
Ag1 F1,2.8
K1 Sb1 Se2,1.65
Ga4 Cu2 Te7,1.18
Sm2 Sc3,2.3
Zn1 O1,3.25
Cd1 Sn1 As2,0.41
Cd4 As2 I3,2.3
W1 Se2,1.35
Ba3 Bi0.5 B1.5 S6,2.43
Hg2 Br2,2.6
Cd1 Sb1,0.42
Ga1 N1,3.48
Ba1 Sn1 O3,3.1
Cs8 Ga8 Si38,1.14
Ca5 B3 O9 F1,6.53
Bi1 I1 O1,1.89
Pr1 O1,0.55
In6 Se7,0.86
Sn1 Se0.99 S0.01,0.95
Tl1 Br1,3.12
Cd1 Hg6 As4 Br6,1.89
Y1 B66,0.8
Ge3 Bi3 O10.5,3.3
Cr1 O2,0.23
Bi0.04 Te0.06 Pb0.98 Se0.98,0.28
Cs3 Bi1,0.7
V2 O5,2.32
Gd1 B6,3.6
La2 S3,2.77
Zn3 As2,0.93
Li4.5 Mn0.5 Te1 O6,1.97
Rb2 Te1,4.5
In1 Sb0.4 As0.6,0.1
Ce3 Mo1 O7,2.0
P2 Pd3 S8,2.12
Ba1 Ti1 O3,3.1
Cs2 Ti1 Ag2 S4,2.44
Zn0.9 Ga0.1 As0.1 Se0.9,2.34
Zn3 As2,0.96
Cd0.2 In2.4 Ag0.4 Te4,0.42
Pb1 S1,0.44
Y3 Ga1 S6,2.88
Sc2 O3,6.2
Y6 Zn1 Si2 S14,2.38
Tl2 Cu2 Sn1 S4,1.4
Ba3 Mg1 Ta2 O9,4.28
Na3 Zn1 B5 O10,3.2
Li1 Bi1 S2,0.19
K1 Nb1 Se2 O7,4.0
Ni1 P2,0.73
Zn1 O1,3.42
Ga1 Se1,2.12
Cd1 Ge1 As2,1.1
In1 S1,2.07
Nd2 S3,2.65
Hf1 O2,5.55
Rb2 Ti1 Ag2 S4,2.33
In1 Ag1 Se2,1.24
La3 In1 Ge0.5 S7,2.61
Ba2 Y1 In1 Se5,2.31
Bi0.4 Te0.6 Pb0.8 Se0.8,0.22
Sb6 Pb6 Se17,0.8
Ba2 Ga1 Bi1 Se5,2.21
As2 S3,2.8
As2 S3,2.57
K2 Cu2 Sn2 Se6,1.04
Er1 N1,3.0
As2 Se3,1.7
Tl1 Cu1 Cl3,2.98
Er2 Mo3 O12,0.96
Ba4 Ge3 Se9 Cl2,1.89
Cu1 Bi1 Pb1 Se3,0.07
Eu3 As2,0.6
Hg1 Cl2,4.45
Sr1 O1,5.77
Zn3 As2,1.0
Tl1 Se1,0.8
In1 Ag1 O2,4.2
Ba1 Pd1 Se6,2.15
Ag1 S1,1.3
Ho1 Cu3 Te3,0.26
Sb1 I3,2.49
K4 Ba2 Nb4 S22,1.77
Si1 Sn1,0.59
Co1 Sb1 S1,0.11
In1 As1,0.41
Tl0.001 Te1 Pb0.999,0.3
Ge40 Te5.3 I8,0.8
Al1 Sb1,1.68
Ag3 As1 Se3,2.18
Cs2 Cd3 Te4,2.48
Pd1 I2 O6,1.31
Ba3 B1 Sb1 S6,2.62
Ba2 Nd1 Ga1 Se5,2.18
Zn1 Ge1 P2,2.0
K2 Ga3 Cu1 Se6,1.72
Cd1 Si1 As2,1.62
Na1 Bi1 Se2,0.35
Bi2 Te2.1 Se0.9,0.29
Zr1.33 Ta0.67 N1.97 O1.38,2.31
Cd8 B5 O15 F1,3.14
Te3 As2,1.59
Zn0.92 Hg0.08 Te1,1.9
Tl1 In1 Hg1 S3,1.74
K1 Ti1 P1 O5,3.54
Rb1 I1,6.25
Eu1 In2 Te4,1.22
As2 S3,2.37
Tb2 O3,3.0
Li1 Ga1 S2,4.15
K2 Ti1 Cu2 S4,2.04
K1 P1 Au5 S8,2.14
Ta2 Tl4 S11,1.26
Sm1 Er3 Se6,2.0
Ge0.4 Te1 Pb0.6,0.51
Zn1 S1,3.7
Cr1 Te2,0.17
Pb1 S1,0.28
Bi2 O3,2.86
Ga1.1 Cu0.9 Se2.1,1.59
Fe1 Cu1 Te2,0.16
Nd1 F3,6.15
Sn0.15 Pb0.85 Se1,0.22
Cd0.6 Hg0.4 Se1,0.7
Ag1 Te2 As1,0.8
Si1 Sb1,1.9
Cd1 Hg4 As2 I4,1.45
In1.1 Cu0.9 Se2.1,1.06
Cs4 Bi1 As3 Se7,1.02
Sr1 Mg1 Sn1 Se4,2.0
B1 H1 Pb2 O4,3.76
K4 Nb2 S11,1.96
Li1 As1 Se2,1.11
K2 Sn3 Sb2 S10,2.3
Na1 Sb1 S2,1.48
Li1 Ca3 As2 H1,1.4
Pb1 O2,1.4
Sn0.2 Pb0.8 Se1,0.06
La2 Se3,1.65
Zn1 O1,3.45
Cd1 S1,2.42
Sn1 Ge1,0.8
Bi1.6 Sb0.4 Te3,0.16
Gd1 N1,1.54
In1 Ag1 S2,2.0
Lu2 Cr1 S4,1.75
Mn1 F2,9.9
Ga2 Cu1 Se4,0.63
La8 Sb2 S15,2.3
Zn3 Sb2,0.22
Na1 Cl1,8.6
Ag5 I1 O6,1.4
Y4 U1 S5 O3,1.95
Zr1.33 Ta0.67 N2.61 O0.42,1.93
In1 Se1,1.26
Ge1 S1,1.69
Tl2 Ge1 Te3,0.37
Zn1 Ge1 P2,2.1
Li1 Zn2 Ga1 O4,4.0
Bi1 I1 O3 F2,3.97
Tl1 Sb1 Te3,0.38
Ba3 B1.5 Sb0.5 S6,3.01
Ge1 Se2 O6,5.31
Sn0.13 Pb0.87 Se1,0.02
Cu3 As1 Se4,0.65
Ag1 Te1,0.73
Cd3 Bi2,0.2
Rb1 Bi3 Te1 Se4,0.8
Dy1 As1,1.0
Ti1 Bi25 O39,3.1
Rb2 Te1 Br6,2.14
In2 Se1,0.69
Ge1 As1,1.45
Y1 V1 Se1 O10,2.7
K1 Cu4 As1 S4,1.9
K2 Zn1 Sn3 S8,2.3
B2 O3,4.9
As2 S3,2.21
Pd1 S2,0.75
Sc1 Ag1 O2,3.8
Zn1 In2 S4,2.86
Cd1 Si1 P2,2.16
Cd1 Ge1 As2,0.53
Gd2 Mo3 O12,4.06
Pb1 S1,0.42
Ga1 Ag1 Te2,1.1
Sc1 Ti1 Nb1 O6,3.58
La3 Si1 Sb0.33 S7,1.92
Cd4 Sb2 I3,1.83
Ga2 Ge1 Te3,0.85
Sn0.01 Pb0.99 Se1,0.16
Ga1 Sb0.85 As0.15,1.1
Li1 In1 S2,3.57
In1.3 Cu0.7 Se2.3,1.1
Pb1 Se1,0.15
Cd0.05 Ga0.95 Sb0.95 Te0.05,0.74
In1.7 Cu0.3 Se2.7,1.21
Ga1.85 Cu0.15 Se2.85,1.92
Ge1 O2,5.56
Cs1 Y1 Hg1 Se3,2.54
Pr2 Se3,1.8
Si1 Se2,1.72
Pb2 Se1 N2 O9,3.76
Sn0.06 Pb0.94 Se1,0.17
Tl2 Bi1 P2 S7,1.8
Sn1 Se0.6 S0.4,0.98
Ge1 S1,1.74
Sn0.001 Pb0.999 Se1,0.32
In2 Se2 O7,2.97
P1 H6 N1 O4,6.81
In2 Se3,1.0
Si1 Se2,1.73
Na1 In1 Sn1 S4,2.4
Cs2 Te1 Br6,2.12
Cs0.4 K0.6 P1 Se6,2.1
Ca2 Ge1,1.0
Ba2 Zn1 Te3,2.1
Zn2 In2 S5,2.7
Ga1 Cu1 O2,1.47
V1 In1 Ni2 O6,1.92
Pr1 B6,4.9
Rb2 Mo3 Se3 O16,3.1
Cd1 S1,2.43
Rb1 In1 S2,3.3
Ga1.001 Sb0.999 Se0.003,0.71
Ba1 Ga4 S7,3.54
In3 Cu1 Te5,1.2
Li1 Mg1 As1,0.7
In1 Sb1,0.18
Ba2 V2 Zn1 O8,3.48
Tl1 Se1,0.57
Bi2 S1 I2 O11,3.74
Ge0.01 Te1 Pb0.99,0.32
Zr1 Se3,1.25
Zn1 Sb1,1.05
Rb2 Ag1 P1 S4,2.6
Ba1 Cu2 Sn1 Se4,0.48
Bi1 P1 O4,3.85
Na2 Se1,2.0
In1 As1,0.35
La4 Fe1 Sb2 S10,1.0
Gd1 B1 Sb2 O8,3.48
Sb1 Se1 I1,1.68
Si1 Sn1,0.59
Ba2 Ga8 Si1 S16,3.4
Pb1 S1,0.37
Rb1 I1,6.37
Cu3 As1 S4,1.48
Ag3 Sb1 S3,2.1
K2 Cu2 Sn2 S6,1.47
Sb2 Te3,0.35
Zn0.8 Hg0.2 Se1,1.4
V2 Ag2 I4 O16,2.24
Hg1 O1,2.48
Na1 Nb2 P1 S10,1.72
Ga3 Cu1 Se5,1.75
Zn2 Te1 Mo1 O7,4.1
Tl1 In1 S2,2.25
Sc1 Ta2 N1 O5,2.67
In1 Ag1 S2,1.88
Cd1 As2,1.13
Cd0.5 In2.25 Ag0.25 Te4,0.39
In6 S7,0.95
Tb1 B1 Sb2 O8,3.53
Pr1 Tl1 Se2,1.18
Ba1 Ga2 Sn1 Se6,1.6
Ge1 Se2,2.3
Zn1 Te1,2.1
In2 Se3,1.38
Ag2 Sn1 Se3,0.84
Ga1 Ag1 Se2,1.3
Cd1 Sn1 As2,0.31
In1 Sb0.5 As0.5,0.1
B4 C1,1.64
Gd1 H2 N1 O5,4.84
Cu2 Ge1 Se3,0.85
Tl1 Cl1,3.23
Ga1 Sb0.3 As0.7,0.67
Pb1 I2,2.55
Pd1 O1,0.8
Tl2 Te1 S3,1.6
Fe1 Ag1 Te2,0.58
Ge1 S2,3.43
Zn1 S1,3.82
Ca1 Pr2 S4,2.9
Cd0.9 Hg0.1 Se1,0.35
In1 Sb1,0.23
Ba2 Ga1 Bi1 S5,2.38
Cd3 As2,0.19
V1 Bi24 O41,3.25
V2 O4,0.66
Sn1 S1,1.3
Pr1.29 Lu0.71 S3,1.38
Ag1 As1 Se2,1.4
Tl1 In1 Se2,1.1
In1 As1,0.33
Ta1 Ga1 Se2,2.12
Al1 N1,6.03
Sr8.007 Ge2.043 Bi7.949 Se24,0.74
Zr3 O1,0.2
In0.4 Ga0.6 As0.4 P0.6,1.85
Tl1 Cr5 S8,1.01
Tb1 Cu3 Te3,0.46
Na2 Cd1 Ge2 S6,2.57
La2 Ga2 Ge1 S8,2.78
Cs1 Lu1 Co1 S3,1.18
La2 Mo1 O5,0.49
Ba7 B3 O9 F5,4.94
Ag2 Ge1 Se3,0.9
In2 Se1,0.65
Si0.6 Ge0.4,0.94
Cd1 In2 Te4,1.17
Ba1 Ta1 N1 O2,1.78
Sn1 Se0.75 S0.25,0.99
Ag3 As1 S3,1.98
Si0.162 Ge0.838,1.32
Dy1 P1 O4,6.38
Ho1 In3 S6,1.23
Ag2 S1,1.23
Te1 Pb1,0.36
Cd0.01 Hg0.99 Se1,1.72
Te0.99 Pb1 Se0.01,0.3
Ga1 Bi1,0.1
Pr1 Te2,1.29
Cs1 In1 Ge1 Se4,2.32
Rb1 Nb4 Br11,0.46
Cu1 P2,1.45
Sn1 Se1,0.95
Pb1 Se0.95 S0.05,0.26
Cs1 I1,6.37
K3 Ti2 P5 S18,1.61
Ba3 Fe1 S4 Br1,1.65
Cd1 P4,1.15
Pr1 In3 S6,1.14
Si1 As2,0.88
Zn1 In2 Te4,1.8
Eu3 Sb4 Se9,1.08
Mg1 Ge1 N2,4.2
Ca4 Bi6 O13,2.76
Pr1 Cu1 S1 O1,3.03
Ga1.95 Cu0.05 S2.95,2.64
H6 Pt1 I6 O20,2.12
Tl1 Br1,3.3
Cd0.23 Hg0.77 Te1,0.12
Te1 Pb1,0.3
Cu2 W1 Se4,1.65
Sn1 Te1,0.3
Li2 In2 Si1 Se6,2.54
In0.3 Ga0.7 As0.7 P0.3,1.67
Ga1 As0.2 P0.8,2.2
Rb1 Cd4 In5 Se12,1.57
Sm3 Te4,0.51
Yb1 Sb4 Te7,0.22
Cs1 Li1 B6 O10,6.89
Dy1 N1,2.1
Li6 Mo6 Se6 O33,3.3
Zn0.85 Ga0.15 P0.15 S0.85,2.4
K8 Ce2 I18 O53,2.34
Rb3 Al3 Ge7 S20,3.1
Ba3 Er2 P4 S16,3.3
Li2 Zn1 Ge1 Se4,1.86
K2 Te1,1.9
Ca1 O1,6.93
Bi1 Pb1 Br1 O2,2.3
Tl2 Ge1 Te3,0.36
Ti1 Bi12 O20,3.09
W1 Se2,1.57
Pr1 Lu1 Se3,1.56
B1 P1,4.2
K1 Sb5 S8,1.82
Ga1.02 Sb0.98 Te0.06,0.68
V1 O2,0.66
Gd1 Te1,1.3
Ge0.41 Te1 Pb0.59,0.49
Zn1 Se1,2.83
Zn2 In1 Cu1 Te4,1.05
Cs2 Al2 B2 O7,4.13
Ba8 Hg4 Se7 S5,1.98
Ga1 As1,1.44
Sn0.1 Pb0.9 Se1,0.24
Cd1 Sb1,0.47
La2 Zn1 Se2 O2,3.4
Fe1 Ag1 Se2,0.23
Cu1 Br1,3.07
Tl1 P1 Se2,0.5
Cd0.03 In0.97 Te0.03 As0.97,0.71
W1 O3,2.7
Hg2 Cl2,3.5
Sb2 S3,1.69
K2 Ag3 Sb3 S7,2.2
Ga1 Ag1 S2,2.73
In1 S1,2.45
