composition,output
Cd1 Cu2 Sn1 Se4,1
Li3 Sc1 N2,1
In1 Bi2 Se4 Br1,1
In0.001 Te1 Pb0.999,1
Cu1 Sb1 S2,1
Li1 Mo1 I1 O6,1
Ge0.2 Pb0.8 Se1,1
Cs2 Hg3 I8,1
Ba2 Sm1 In1 Se5,1
Sb1 Se1 Br1,1
K2 Al2 B2 O7,1
Zn0.9 Ga0.1 P0.1 S0.9,1
Cs1 In1 Hg1 S3,1
Si0.458 Ge0.542,1
Ga2 Hg1 Se4,1
Sr3 Ti2 O7,1
Te2 Ru1,1
In1 Cu1 Ge1 Se4,1
Ge1 Te2,1
V2 Zn3 Te1 O10,1
K2 Hg3 Se2.97 S1.03,1
Y1 Ni1 Sb1,1
Rb1 Mn4 Ga5 Te12,1
Cs2 Cd0.25 Hg5.75 S7,1
Ni1 O1,1
Cs1 I1,1
B2 Se2 O7,1
Si1 Te2,1
Cs2 P2 Pd1 Se6,1
Cu2 Sn1 Se3,1
La1 Cu1 Te1 O1,1
Ba1 Si2,1
K2 Ce1 P2 O8,1
Ga1 As0.6 P0.4,1
Li2 Sn1 Hg1 S4,1
Na1 Cl1,1
Ge0.05 Te1 Pb0.95,1
B1 Sb1,1
Cr1 O3,1
Cs1 Bi1 Se2,1
Mg3 As2,1
Cs1 Cu2 Sb1 S3,1
Cu0.96 Bi2 Se3 I1,1
Cd1 Se0.99 S0.01,1
Rb4 Ag9 Sb4 S12,1
In9 Ag1 Te14,1
Ba2 Sn1 Se4,1
Bi1 Cl1 O1,1
Ti1 Ni1 Sb1,1
Ga1.99 Cu0.01 Se2.99,1
In1.5 Cu0.5 Se2.5,1
Na8 Al8 Si38,1
Ga1.7 Cu0.3 S2.7,1
Ge2 Sb2 Te5,1
Cs1 P1 Pb1 O4,1
K1 H3 Se2 O6,1
As1 P1 Pd1,1
K2 Sm2 Ti3 O10,1
Sn2 W1 O5,1
Sn0.05 Pb0.95 Se1,1
Ga2 O3,1
Sn1 Se2,1
Rb1 Bi1 S2,1
Nd1 B6,1
Ga1 As0.5 P0.5,1
Cs1 Zn4 In5 Te12,1
Ni1 P2,1
Ba4 Ga5 Ag1 S12,1
K1 In1 S2,1
Ag2 Hg1 I4,1
K10 Zn4 Sn4 S17,1
Gd1.87 Lu2.13 Se6,1
Cs2 Sn1 P2 Se6,1
P1 Pd1 S1,1
Hg1 P1 S3,1
Co1 Te1.88,1
Sr1 In2 Ge4 Ir4,1
Na1 Sb1 F6,1
Cd1 In8 Te13,1
Gd1 Cu3 Te3,1
In1.01 Cu0.99 Se2.01,1
In0.5 Ga0.5 P1,1
Si0.1 Ge0.9,1
Tl1 Ga1 Se2,1
In4 Se3,1
Na1 Ga1 Ge3 Se8,1
Bi3 I4 O13 F3,1
Ho1 Cu3 Se3,1
Rb1 In1 Ge1 S4,1
Ag1 F1,1
Ga4 Cu2 Te7,1
Sm2 Sc3,1
W1 Se2,1
Ba3 Bi0.5 B1.5 S6,1
Hg2 Br2,1
Ba1 Sn1 O3,1
Cs8 Ga8 Si38,1
Ca5 B3 O9 F1,1
Bi1 I1 O1,1
Pr1 O1,1
Cd1 Hg6 As4 Br6,1
Y1 B66,1
Ge3 Bi3 O10.5,1
Cr1 O2,1
Bi0.04 Te0.06 Pb0.98 Se0.98,1
V2 O5,1
Gd1 B6,1
La2 S3,1
Li4.5 Mn0.5 Te1 O6,1
Rb2 Te1,1
In1 Sb0.4 As0.6,1
Ce3 Mo1 O7,1
P2 Pd3 S8,1
Ba1 Ti1 O3,1
Cs2 Ti1 Ag2 S4,1
Zn0.9 Ga0.1 As0.1 Se0.9,1
Cd0.2 In2.4 Ag0.4 Te4,1
Y3 Ga1 S6,1
Sc2 O3,1
Y6 Zn1 Si2 S14,1
Tl2 Cu2 Sn1 S4,1
Ba3 Mg1 Ta2 O9,1
Na3 Zn1 B5 O10,1
K1 Nb1 Se2 O7,1
In1 S1,1
Nd2 S3,1
Hf1 O2,1
Rb2 Ti1 Ag2 S4,1
La3 In1 Ge0.5 S7,1
Ba2 Y1 In1 Se5,1
Bi0.4 Te0.6 Pb0.8 Se0.8,1
Sb6 Pb6 Se17,1
Ba2 Ga1 Bi1 Se5,1
K2 Cu2 Sn2 Se6,1
Er1 N1,1
Tl1 Cu1 Cl3,1
Er2 Mo3 O12,1
Ba4 Ge3 Se9 Cl2,1
Cu1 Bi1 Pb1 Se3,1
Eu3 As2,1
Hg1 Cl2,1
Sr1 O1,1
In1 Ag1 O2,1
Ba1 Pd1 Se6,1
Ho1 Cu3 Te3,1
K4 Ba2 Nb4 S22,1
Si1 Sn1,1
Co1 Sb1 S1,1
Tl0.001 Te1 Pb0.999,1
Ge40 Te5.3 I8,1
Cs2 Cd3 Te4,1
Pd1 I2 O6,1
Ba3 B1 Sb1 S6,1
Ba2 Nd1 Ga1 Se5,1
K2 Ga3 Cu1 Se6,1
Na1 Bi1 Se2,1
Bi2 Te2.1 Se0.9,1
Zr1.33 Ta0.67 N1.97 O1.38,1
Cd8 B5 O15 F1,1
Zn0.92 Hg0.08 Te1,1
Tl1 In1 Hg1 S3,1
Eu1 In2 Te4,1
Tb2 O3,1
K2 Ti1 Cu2 S4,1
K1 P1 Au5 S8,1
Ta2 Tl4 S11,1
Sm1 Er3 Se6,1
Ge0.4 Te1 Pb0.6,1
Cr1 Te2,1
Bi2 O3,1
Ga1.1 Cu0.9 Se2.1,1
Fe1 Cu1 Te2,1
Nd1 F3,1
Cd0.6 Hg0.4 Se1,1
Ag1 Te2 As1,1
Si1 Sb1,1
Cd1 Hg4 As2 I4,1
In1.1 Cu0.9 Se2.1,1
Cs4 Bi1 As3 Se7,1
Sr1 Mg1 Sn1 Se4,1
B1 H1 Pb2 O4,1
K2 Sn3 Sb2 S10,1
Na1 Sb1 S2,1
Li1 Ca3 As2 H1,1
Bi1.6 Sb0.4 Te3,1
Gd1 N1,1
Lu2 Cr1 S4,1
Mn1 F2,1
Ga2 Cu1 Se4,1
La8 Sb2 S15,1
Ag5 I1 O6,1
Y4 U1 S5 O3,1
Zr1.33 Ta0.67 N2.61 O0.42,1
Tl2 Ge1 Te3,1
Li1 Zn2 Ga1 O4,1
Bi1 I1 O3 F2,1
Tl1 Sb1 Te3,1
Ba3 B1.5 Sb0.5 S6,1
Ge1 Se2 O6,1
Sn0.13 Pb0.87 Se1,1
Cu3 As1 Se4,1
Cd3 Bi2,1
Rb1 Bi3 Te1 Se4,1
Dy1 As1,1
Ti1 Bi25 O39,1
Rb2 Te1 Br6,1
In2 Se1,1
Ge1 As1,1
Y1 V1 Se1 O10,1
K1 Cu4 As1 S4,1
K2 Zn1 Sn3 S8,1
B2 O3,1
Pd1 S2,1
Sc1 Ag1 O2,1
Ga1 Ag1 Te2,1
Sc1 Ti1 Nb1 O6,1
La3 Si1 Sb0.33 S7,1
Cd4 Sb2 I3,1
Ga2 Ge1 Te3,1
Ga1 Sb0.85 As0.15,1
In1.3 Cu0.7 Se2.3,1
Cd0.05 Ga0.95 Sb0.95 Te0.05,1
In1.7 Cu0.3 Se2.7,1
Ga1.85 Cu0.15 Se2.85,1
Cs1 Y1 Hg1 Se3,1
Pr2 Se3,1
Pb2 Se1 N2 O9,1
Tl2 Bi1 P2 S7,1
Sn1 Se0.6 S0.4,1
Sn0.001 Pb0.999 Se1,1
In2 Se2 O7,1
P1 H6 N1 O4,1
Na1 In1 Sn1 S4,1
Cs2 Te1 Br6,1
Cs0.4 K0.6 P1 Se6,1
Ca2 Ge1,1
Ba2 Zn1 Te3,1
Ga1 Cu1 O2,1
V1 In1 Ni2 O6,1
Pr1 B6,1
Rb2 Mo3 Se3 O16,1
Rb1 In1 S2,1
Ga1.001 Sb0.999 Se0.003,1
Ba1 Ga4 S7,1
Li1 Mg1 As1,1
Ba2 V2 Zn1 O8,1
Bi2 S1 I2 O11,1
Ge0.01 Te1 Pb0.99,1
Rb2 Ag1 P1 S4,1
Ba1 Cu2 Sn1 Se4,1
Bi1 P1 O4,1
Na2 Se1,1
La4 Fe1 Sb2 S10,1
Gd1 B1 Sb2 O8,1
Ba2 Ga8 Si1 S16,1
K2 Cu2 Sn2 S6,1
Zn0.8 Hg0.2 Se1,1
V2 Ag2 I4 O16,1
Na1 Nb2 P1 S10,1
Zn2 Te1 Mo1 O7,1
Sc1 Ta2 N1 O5,1
Cd0.5 In2.25 Ag0.25 Te4,1
Tb1 B1 Sb2 O8,1
Pr1 Tl1 Se2,1
Ba1 Ga2 Sn1 Se6,1
Ag2 Sn1 Se3,1
Ga1 Ag1 Se2,1
In1 Sb0.5 As0.5,1
B4 C1,1
Gd1 H2 N1 O5,1
Cu2 Ge1 Se3,1
Ga1 Sb0.3 As0.7,1
Pd1 O1,1
Tl2 Te1 S3,1
Ca1 Pr2 S4,1
Cd0.9 Hg0.1 Se1,1
Ba2 Ga1 Bi1 S5,1
V1 Bi24 O41,1
V2 O4,1
Pr1.29 Lu0.71 S3,1
Ag1 As1 Se2,1
Sr8.007 Ge2.043 Bi7.949 Se24,1
Zr3 O1,1
In0.4 Ga0.6 As0.4 P0.6,1
Tl1 Cr5 S8,1
Tb1 Cu3 Te3,1
Na2 Cd1 Ge2 S6,1
La2 Ga2 Ge1 S8,1
La2 Mo1 O5,1
Ba7 B3 O9 F5,1
Si0.6 Ge0.4,1
Ba1 Ta1 N1 O2,1
Si0.162 Ge0.838,1
Dy1 P1 O4,1
Ho1 In3 S6,1
Ag2 S1,1
Cd0.01 Hg0.99 Se1,1
Te0.99 Pb1 Se0.01,1
Ga1 Bi1,1
Cs1 In1 Ge1 Se4,1
Rb1 Nb4 Br11,1
Pb1 Se0.95 S0.05,1
K3 Ti2 P5 S18,1
Ba3 Fe1 S4 Br1,1
Pr1 In3 S6,1
Si1 As2,1
Eu3 Sb4 Se9,1
Mg1 Ge1 N2,1
Ca4 Bi6 O13,1
Pr1 Cu1 S1 O1,1
Ga1.95 Cu0.05 S2.95,1
H6 Pt1 I6 O20,1
Cu2 W1 Se4,1
Sn1 Te1,1
Li2 In2 Si1 Se6,1
In0.3 Ga0.7 As0.7 P0.3,1
Ga1 As0.2 P0.8,1
Rb1 Cd4 In5 Se12,1
Sm3 Te4,1
Yb1 Sb4 Te7,1
Cs1 Li1 B6 O10,1
Li6 Mo6 Se6 O33,1
Zn0.85 Ga0.15 P0.15 S0.85,1
K8 Ce2 I18 O53,1
Rb3 Al3 Ge7 S20,1
Ba3 Er2 P4 S16,1
Li2 Zn1 Ge1 Se4,1
K2 Te1,1
Bi1 Pb1 Br1 O2,1
Ti1 Bi12 O20,1
Pr1 Lu1 Se3,1
B1 P1,1
K1 Sb5 S8,1
Ga1.02 Sb0.98 Te0.06,1
Gd1 Te1,1
Ge0.41 Te1 Pb0.59,1
Zn2 In1 Cu1 Te4,1
Cs2 Al2 B2 O7,1
Ba8 Hg4 Se7 S5,1
La2 Zn1 Se2 O2,1
Fe1 Ag1 Se2,1
Tl1 P1 Se2,1
Cd0.03 In0.97 Te0.03 As0.97,1
K2 Ag3 Sb3 S7,1
Bi1.98 Sb0.02 Te3,1
K2 Re1 H9,1
Eu3 Se4,1
Si0.001 Ge0.999,1
Cu3 Hg2 Te6 O16,1
Ag8 Sn1 Se6,1
Bi2 As1 Cl1 O4,1
Cs2 Te1 I6,1
Ag2 Ge1 S3,1
Zn1 Sn1 As2,1
Y1 Cd4 B3 O10,1
Li1 Zn1 B1 O3,1
Ti1 Te2,1
Sb1 Pb2 S2 I3,1
Cs3 Bi2 Br9,1
La3 Mg0.5 Sn1 S14,1
Tl1 Bi1 Te2,1
Ba1 Ga2 Si1 Se6,1
Ba2 Gd1 In1 Se5,1
Ta7 Cu3 O19,1
Ga1 P1,1
K2 Cd1 P2 Se6,1
K1.83 Cd1.83 Bi2.17 S6,1
Cs1 Cd4 In5 Te12,1
Ce4 Ge3 S12,1
Tl2 Hg3 S4,1
Ga3 Cu1 Te5,1
Cu1 Bi1 Pb1 S3,1
K1 Bi3 S5,1
Cs1 Ca1 B1 O3,1
Cd0.35 Hg0.65 Te1,1
Tl1 Ga1 Te2,1
Gd1 Cu3 S3,1
Tm1 Cu3 Te3,1
Li1 Bi3 Cl2 O4,1
K1 Si2 P3,1
Ag1 Sb1 Se2,1
La2 Yb1 Cu1 S5,1
In0.1 Ga0.9 As0.9 P0.1,1
In0.72 Ga0.28 As1,1
Ag7 As1 Se6,1
Cd1 Ag2 Ge1 S4,1
Li0.33 Ti0.67 Ag1 O2,1
Yb1 Ga2 Se4,1
Ca2 Sm1 Ta1 O6,1
Sn0.2 Te1 Pb0.8,1
Ba4 B11 O20 F1,1
In2 O3,1
Na2 Nb4 Se4 O19,1
Bi2 Te1.2 Se1.8,1
Cs2 Si1 B4 O9,1
Cs10 Cd4 Sn4 S17,1
Rb2 Hg3 Ge2 S8,1
Rb2 Te1 I6,1
Si1 Ge1,1
Cs5 P5 Se12,1
Na1 As1 S2,1
Ho2 Ge1 S5,1
Mn1 P4,1
K10 Zn4 Ge4 S17,1
Yb1 S1,1
Tl2 Sn2 Au2 Se6,1
Cs2 Cd2 Bi2 S5,1
Li1 In1 I4 O12,1
Te1 Se3,1
Cr3 Se4,1
Al0.35 Ga0.65 As1,1
K2 Bi8 Se13,1
Zn6 S5 Cl2,1
Cs1 Cl1,1
Bi0.002 Te0.003 Pb0.999 Se0.999,1
B3 Pb3 N1 O10,1
Mn1 V1 Te2 O8,1
Al0.01 Cd0.99 Sb0.01 Te0.99,1
K1 Tb1 Se4,1
Sr1 Bi1 Cl1 O2,1
Ho2 Mo3 O12,1
K2 Sm1 P2 S7,1
Na0.8 Li0.2 As1 Se2,1
Ba5 V3 O12 F1,1
Na1 Cd4 P3,1
Eu1 Sb2 Se4,1
In0.07 Te1 Pb0.93,1
Zn1 Sb2 Mo1 O7,1
As1 Se1 I1,1
Cd0.06 In0.94 Te0.06 As0.94,1
Tl1 N1,1
Na1 In1 I4 O12,1
Al1 Ag1 O2,1
K1 F1,1
Pb1 Se0.9 S0.1,1
Al1 Ag1 Te2,1
Ba2 In1 Ag1 S4,1
As1 P1 Pt1,1
Ce1 Tl2 P2 S7,1
Li1 Sb3 Pb1 S6,1
V2 Cd2 Te2 O11,1
Ga4 Sn1 Se7,1
Ho2 O3,1
Ba2 Ga1 Sb1 Te5,1
Cd0.3 Hg0.7 Se1,1
Al0.1 In0.9 P1,1
Na3 Sn2 Cl1 F6,1
K5 In3 P6 Se19,1
Sn1 I4,1
Ti6 H2 O13,1
Li2 Si2 B12,1
Sb2 Pb1 Se4,1
Pd1 S1,1
Al0.1 Cd0.9 Sb0.1 Te0.9,1
K1 Au1 I4 O12,1
Ba3 Tb2 P4 S16,1
K1 Si1 Bi1 S4,1
Ba4 Si3 Se9 Cl2,1
Al2 Te3,1
In2 Fe1 Se4,1
Cs1 Nb1 Se2 O7,1
Sc2 Fe1,1
Cd0.01 Ga0.99 Sb0.99 Te0.01,1
Cs3 Nb2 As1 Se11,1
K3 Ta2 As1 S11,1
Ga1 Cu1 Ge1 Se4,1
Ba5 Ga6 Sn1 P12,1
Dy1 In3 S6,1
V2 Pb4 Se6 O21,1
Eu1 Ga2 S4,1
Mn1 In2 Pb1 S5,1
Cd1 P4 Pb1 O12,1
Mg2 Pb1,1
Na2 Cd1 Sn1 S4,1
Cs1 Li1 C1 O3,1
Th1 Se1 O1,1
Nb2 Tl3 Cu1 Se12,1
Y1 H2 N1 O5,1
Mg3 P2,1
Zn0.4 Hg0.6 Se1,1
Rb3 Sb2 I9,1
Al0.4 In0.6 P1,1
Ba4 Sb3 S8 Cl1,1
Li2 Cd1 Ge1,1
Zn1 Si1 P2,1
Na1 In1 S2,1
In11.3 Bi14.7 S38,1
Cs2 Cd1 P2 Se6,1
Tl0.07 Te1 Pb0.93,1
Er1 Bi1 W2 O9,1
Li1 Ga1 Ge2 Se6,1
Eu3 In2 P4,1
Gd1 As1,1
Cs1 Ga1 S3,1
Mg3 As1 N1,1
Ba2 Er1 In1 Se5,1
Cs1 P1 Se6,1
Bi1 S1 Cl1,1
Cd0.37 Hg0.63 Te1,1
Cd1 Se0.2 S0.8,1
Gd2 S3,1
Na2 Te1 S3,1
Ag1 Bi1 Pb1 S3,1
Zr1 Hg4 As2 Cl6,1
Ba1 Bi1 Cl1 O2,1
Rb1 Yb1 Zn1 Se3,1
Na1 In1 Te2,1
Fe1 P1 S1,1
Tm2 O3,1
K1.46 Sn3.09 Bi7.45 Se15,1
Ba2 Na1 Cu3 S5,1
Ru1 S2,1
K1 Eu1 As1 S4,1
Ge0.39 Te1 Pb0.61,1
Yb1 Cu3 Se3,1
Tl0.04 Te1 Pb0.96,1
Li2 Fe1 Sn1 S4,1
Ga2 Pb1 Se4,1
Ba2 B6 O11,1
B12 As2,1
Tl1 As1 S2,1
Se1 S1,1
Ga0.01 Te1 Pb0.99,1
Ba1 Ge4 Rh2 Se6,1
Cs1 Ge1 I3,1
Rb1.45 Sb7.45 Pb3.1 Se15,1
Mg1 Si1 N2,1
Co1 Sb3,1
Mg1 Te1,1
Ba2 Dy1 In1 Se5,1
Ba4 In1 Ag1 Se6,1
P1 Pd1 Se1,1
Bi1 Se1 O3 F1,1
K1 Cl1,1
Sn0.1 Te1 Pb0.9,1
Zn1 Si1 Ag2 S4,1
Bi2 Te3,1
K8 Zr6 Se30,1
La1 V1 I5 O16,1
K1 Bi1 S2,1
Cd1 Sb2 Se3 Br2,1
La2 Fe1 Se2 O2,1
Ba1 Zn2 As2,1
Yb1 Sb2 S4,1
Ag1 Cl1,1
Tl1 Sb1 Se2,1
Th2 Ge1 Se2,1
Rb2 Cu2 Sb2 S5,1
Ba1.88 Ta15 O32,1
Cs6 Na2 Zn4 Ge42,1
Li4.5 Ga0.5 Te1 O6,1
K1 Ga1 Sn1 Se4,1
In1.05 Cu0.95 Se2.05,1
Cu2 Te1,1
Zn0.2 Hg0.8 Te1,1
Zn0.3 Ga0.7 P0.7 S0.3,1
Te1 I4,1
K1 Sb1 S2 O8,1
Cd1 Se0.01 S0.99,1
Ba2 Nd1 In1 Te5,1
Ba2 Sm1 Ga1 Se5,1
Zn1 I2,1
K2 Nb1 Cu1 Se4,1
In1 Bi2 S4 Br1,1
Zn0.99 Ga0.01 P0.01 Se0.99,1
Ti1 S3,1
Hg2 Te2 I2,1
Ba3 Ta2 Se9,1
Cs2 Mg1 Sn3 Se8,1
Ce10 Se14 O1,1
K2 P2 Se6,1
Eu1 Sb4 Te7,1
Cs1 Ag1 Sb4 S7,1
Ca3 Sb2,1
Cs1 Na8 B21 O36,1
Cu2 P2 S6,1
Zr1 Ni1 Sb1,1
Pt1 S2,1
Ce1 Mo1 O4 F1,1
Rh0.67 S2,1
Nd4 Ge3 S12,1
Gd1 B66,1
Nb3 Cu1 O8,1
Sn0.08 Te1 Pb0.92,1
Cs2 Hg1 I2 Cl2,1
Si0.109 Ge0.891,1
Ba2 Ga1 Sb1 Se5,1
La4 In1 Sb1 Se9,1
Al1 Ag1 Se2,1
Si0.2 Ge0.8,1
In0.2 Ga0.8 As1,1
Lu2 Tl1 Cu3 Se5,1
Li1 F1,1
Ga1.01 Cu0.99 Se2.01,1
Gd3.04 Sc0.96 S6,1
Ga0.001 Te1 Pb0.999,1
Ba2 Sc1 Ta1 O6,1
Zn1 Sn1 Sb2,1
La2 Mn1 Ni1 O6,1
Li2 Zn1 Sn1 Se4,1
Rb1 H3 Se2 O6,1
Sn0.17 Pb0.83 Se1,1
Ba2 Er1 In1 Te5,1
Si0.08 Ge0.92,1
Si0.07 Ge0.93,1
Er2 Se3,1
Bi2 I4 O13,1
Na1 Ge3 P3,1
K2 Zn1 Sn2 Se6,1
Pt1 Se2,1
Zn1 Cu2 Sn1 Te4,1
Al1 V1 Te2 O8,1
P2 Pt1,1
In4 Bi3 S10,1
Sn1 Ge1 S3,1
Ca1 Sm2 S4,1
K8 Al8 Si38,1
Bi1 S1 I1,1
Yb1 Ce2 Cu1 S5,1
Cu2 O1,1
Pb1 Cl2,1
Ba1 B1 Cl1 F4,1
Sn2 S1,1
Tl0.005 Te1 Pb0.995,1
Ga1 Sb0.01 As0.99,1
Cs2 Te1,1
Th2 Se5,1
Ti1 Fe2 Si1,1
Ge1 Pb1 S3,1
K1 Na2 Sb1,1
Gd1.47 Mn2.04 In0.49 S5,1
K1 Ag2 Sb1 S4,1
Cs2 Nb1 Cu1 Se4,1
La3 Ga1 Cu1 Se7,1
Cd1 Cu2 Ge1 Se4,1
Ba8 Al10 B12 O41,1
Si1 Bi12 O20,1
Ga2 Te3 O9,1
K1 In1 Se2,1
V1 Zn2 Bi1 O6,1
Cd0.7 Hg0.3 Se1,1
K1 Fe2 Bi1 O5,1
Cs2 Cd3 B16 O28,1
Hf1 S2,1
Fe4 H15 I3 O24,1
Ga1.65 Cu0.35 Se2.65,1
K2 Ag1 Sn1 Se4,1
Sm1 B66,1
Cs1 Sb1 S2,1
Li6 Al2 Te8 O22,1
Rb3 Bi2 Br9,1
Pr10 Se14 O1,1
Ba1 Te1,1
B3 H2 Pb2 O7.5,1
Yb1 Sb2 Te4,1
Cs2 Zn3 Se4 O12,1
Ce1 Sc1 O3,1
Tl2 Te1 I6,1
Al1 B12,1
Zn0.9 Hg0.1 Se1,1
Rh0.67 Se2,1
Si0.999 Ge0.001,1
Zn0.05 Ga0.95 Sb0.95 Te0.05,1
Li1 B9 Pb1 O15,1
La2 V2 I1 O9,1
Sn2 Sb1 S2 I3,1
Ba2 B6 H4 O13,1
Nd4 In1 Sb1 Se9,1
Sm2 O3,1
Yb1 Te1,1
Rb1 Zn4 In5 Se12,1
Ga2 Se2 O7,1
Dy1 Te1.7,1
In1 Sb2 Se4 Br1,1
Cu2 Ge1 S3,1
Sm4 In1 Sb1 S9,1
Cs4 Ge5 Pb4 S16,1
Ga2 Hg1 S4,1
Cs1 Sm1 Cd1 Se3,1
Ca1 F2,1
Rb1 Mo1 P1 O6,1
P1 Ru1 S1,1
Sr1 Se1 O4,1
Tl1 Cr5 Se8,1
Tl1 In1 Ge1 S4,1
La3 Si1 Sb0.33 Se7,1
K2 Th1 Cu2 S4,1
K2 Gd2 Ti3 O10,1
Cd0.2 Hg0.8 Se1,1
In3 Cu1 S5,1
Tl1 Cr5 Se7 S1,1
Sn2 Bi1 S2 I3,1
In1.65 Cu0.35 Se2.65,1
Ba4 Ge3 S9 Cl2,1
Ni1 S2,1
Na8 Eu2 Ge4 S12,1
Ca1 Gd2 S4,1
Ho2 S3,1
K3 Th2 Cu3 S7,1
Te2 Mo1,1
Sn3 Ir2 Se3,1
Zn0.5 Cd0.5 Se1,1
Zr1.86 Cu1 S4,1
Ba1 Hg1 Se2,1
La3 Ga1 Ge0.5 S7,1
Ce1 F3,1
Gd1 Cu3 Se3,1
Ce2 Fe1 Se2 O2,1
Dy4 Ga1 Sb1 S9,1
Si3 Ru2,1
Cd1 P2,1
In3 Ag1 Te5,1
In1 P2 S4,1
Pb1 Se1 O4,1
Ba3 Sn1 Sb2 Se8,1
Li1 Al1 B14,1
In0.8 Ga0.2 As1,1
La1 B6,1
Na1 Al1 Ge1 S4,1
Nb1 Ag2 P2 S8,1
La1 Ga1 O3,1
Na0.5 Ge1 Pb1.75 Se4,1
Ba4 Ga5 Cu1 S12,1
Cs1 Cd1 B1 O3,1
Zn0.7 Ga0.3 P0.3 Se0.7,1
Sm1 Sn1 Te2,1
Th1 O2,1
As1 Ru1 S1,1
Ce1 In3 S6,1
Tl1 Ag1 Se2,1
Cd2 In1 Cu1 Te4,1
Ge1 As2,1
Sr1 Se1,1
P2 Pd1,1
Ba4 Ga4 Sn1 Se12,1
Na2 In2 Ge1 Se6,1
Ba2 In2 S5,1
Ba1 Cu1 Sb1 S3,1
Na2 Zn1 Ge2 S6,1
K3 Cr2 P3 S12,1
Y1 Mo1 Cl1 O4,1
Re1 Si2,1
Ag2 Mo1 I4 O14,1
In0.99 Ga0.01 As0.99 P0.01,1
Sm1 P1,1
Zn3 P2 S8,1
Zn0.42 Ga0.58 As0.58 Se0.42,1
Na2 Ga2 Sn1 S6,1
Fe2 B1 P3 O12,1
Re1 O3,1
Bi1 Pb2 S2 I3,1
Li3 Al1 P2,1
Cs2 Sn3 Sb2 S10,1
Tl1 Hg6 S4 Br5,1
Rb3 Sb1,1
Yb1 Ce2 Cu1 Se5,1
La3 Cu1 Ge1 Se7,1
Rb1 Y1 Te2 O6,1
Li1 I1 O3,1
Cs1 Cd4 Ga5 Se12,1
In0.5 Ga0.5 As0.5 P0.5,1
Cd6 P7,1
Hg1 S1,1
Cs5 Bi1 P4 Se12,1
Cd1 I1 Cl1 O3,1
Eu4 Te7,1
V3 As2 O9,1
Gd1 In3 S6,1
In0.8 Ga0.2 As0.2 P0.8,1
Li8 Ge1 N4,1
Na1 Nb1 Se2 O7,1
Eu1 V1 O4,1
Cs1 Rb1 P2 Se8,1
Na2 In2 Si1 S6,1
Na1 Sc1 Se2 O6,1
Ba6 Al4 B14 O33,1
Mg3 B50 C8,1
Ba1 Cd1 Sn1 S4,1
Zn0.75 Cd0.25 Se1,1
Rb3 Li4 B7 O14,1
In1 Ag1 Te2,1
Te1 As1,1
Pb2 O3,1
K10 Sn3 P8 Se24,1
Sm2 Zr1 Se5,1
Ba5 Ga2 Se8,1
Ce15 B8 N25,1
In0.1 Ga0.9 As0.1 P0.9,1
Zn3.5 Ga1 Sn0.5 O6,1
In5 Cu1 S8,1
Ba1 Ga2 Ge1 Se6,1
Al0.75 Ga0.25 As1,1
Cs2 Dy1 Cu3 Te4,1
Rb1.54 Cd1.54 Bi2.46 S6,1
Cd1 Cu2 Sn1 S4,1
V3 Pb2 Se5 O18,1
Li2 In2 Ge1 Se6,1
Fe2 Te3,1
In1 Ga1 Cu1 S3.5,1
K1 Ag2 Sb1 S3,1
Tl2 Hg3 Se4,1
La2 Yb1 Cu1 Se5,1
In2 S3,1
Cd0.5 In2.2 Ag0.4 Te4,1
Cs2 Hg3 S4,1
Bi1 Se1 I1,1
Mg1 Se1,1
In4 S5,1
Gd2 Mn4 S7,1
Yb1 W1 Cl1 O4,1
Ba3 Ta5 N1 O14,1
Sr2 Sm1 Ta1 O6,1
Cs1 Yb1 Zn1 Se3,1
Hf1 Hg4 As2 Cl6,1
K1 Ba1 Sb1 Se3,1
Rb1 Mn4 In5 Se12,1
Mn1 Se1,1
In1.85 Cu0.15 Se2.85,1
K1 U1 Cl1 O3,1
Cs1 Tb9 Cd4 Se18,1
Cd3 Te2 Mo1 O10,1
Ge0.3 Pb0.7 Se1,1
Cs1 In1 Ge1 S4,1
Bi1 Te1 I1,1
Cs2 Cu2 Sb2 S5,1
P2 H2 Pb2 O6,1
Na7.36 Ga7.24 Sn4.78 Se24,1
Ce1 N1,1
K1 Y1 Te2 O6,1
Rb4 Ti3 S14,1
Ba1 Ga2 S4,1
Cs1 Cd4 In5 Se12,1
Ba1 Zn1 Si1 Se4,1
Pr4 Te7,1
Te1 O2,1
K1 V2 I3 O13,1
Ca1 Mg2 N2,1
Tb0.52 Pr2.48 Ga1.67 S7,1
Zn3 In2 S6,1
La2.1 Bi5.9 Pb2 S14,1
Tl1 As1 Se2,1
Sb1 Pb1 I1 O2,1
Ba8 Ga10 Si36,1
Sn0.17 Te1 Pb0.83,1
K1 Nb3 Se2 O12,1
Tl3 As1 Se3,1
Ce1 Mn0.5 Se1 O1,1
Th1 S1 O1,1
Nb2 Tl4 S11,1
In1 Hg4 As2.5 Br3.5,1
Li4.5 Fe0.5 Te1 O6,1
Fe1 Bi25 O39,1
Cd1 O1,1
Bi2 Te0.1 Se2.9,1
B1 Sb1 Pb1 S4,1
Zn1 Ga2 Se4,1
Cu1 Bi1 P2 Se6,1
B3 Pb10 Br3 O13,1
Ag1 Bi1 P2 S6,1
